SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 41 L,1039 ,Kompally,Under ConstructionConstruction Status,"3,946 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,"1,833 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,"3,700 / sq ft"
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,"5,789 / sq ft"
